date,open,high,low,close,preclose,volume,amount,turn,pctChg,peTTM,pbMRQ
2023-01-03,34.6000,34.9400,34.0100,34.2900,34.6800,30060773,1035688643.7000,0.327600,-1.124600,22.036504,4.951595
2023-01-04,34.1600,34.4700,33.3500,33.9200,34.2900,34595811,1168725298.3900,0.377000,-1.079000,21.798723,4.898166
2023-01-05,33.9200,34.6600,33.8500,34.3500,33.9200,37657131,1289628576.4700,0.410400,1.267700,22.075063,4.960260
2023-01-06,34.3500,34.3500,33.6700,33.7500,34.3500,27146597,918474683.8000,0.295900,-1.746700,21.689473,4.873618
2023-01-09,33.5000,33.8000,33.0100,33.0700,33.7500,45419139,1509679045.0800,0.495000,-2.014800,21.252470,4.775423
2023-01-10,33.0800,33.5700,32.1900,33.3400,33.0700,44753435,1477216120.6300,0.487700,0.816400,21.425986,4.814412
2023-01-11,33.2900,33.2900,32.7000,32.8900,33.3400,35021648,1153769992.8900,0.381700,-1.349700,21.136793,4.749431
2023-01-12,32.8900,33.1500,32.5100,32.6600,32.8900,28030851,918373568.8100,0.305500,-0.699300,20.988983,4.716218
2023-01-13,32.7000,33.7000,32.6400,33.6400,32.6600,34717327,1153396533.9500,0.378400,3.000600,21.618781,4.857733
2023-01-16,33.6200,35.0300,33.4400,34.6700,33.6400,58459365,2021984249.2200,0.637100,3.061800,22.280712,5.006469
2023-01-17,34.7000,35.2500,34.6300,34.7500,34.6700,28581998,995956442.7200,0.313800,0.230700,22.173499,4.982378
2023-01-18,34.7000,35.6600,34.6000,35.1600,34.7500,38037976,1342497924.0000,0.417600,1.179900,22.435114,5.041163
2023-01-19,35.1400,36.9000,35.0000,36.7900,35.1600,61535511,2232133544.9500,0.675600,4.635900,23.475195,5.274869
2023-01-20,36.6600,38.0000,36.6100,36.7300,36.7900,46936638,1746545501.5800,0.515300,-0.163100,23.436910,5.266266
2023-01-30,37.1100,38.5600,36.9800,37.0500,36.7300,51044324,1918690153.9000,0.560400,0.871200,23.641097,5.312147
2023-01-31,37.0500,37.6800,35.6600,35.8500,37.0500,49470410,1788753229.9900,0.543100,-3.238900,22.875394,5.140094
2023-02-01,35.8600,36.6500,35.6600,36.2500,35.8500,32706870,1180240718.5300,0.359100,1.115800,23.130628,5.197445
2023-02-02,36.2400,37.2600,35.9900,36.3900,36.2500,35384255,1295657131.6900,0.388500,0.386200,23.219960,5.217518
2023-02-03,36.3000,36.8800,35.7300,36.7000,36.3900,34994274,1270726772.1800,0.384200,0.851900,23.417767,5.261965
2023-02-06,36.6000,37.5500,36.2300,36.5200,36.7000,49820458,1838212362.9800,0.547000,-0.490500,23.302911,5.236157
2023-02-07,36.6100,37.6900,36.5600,37.2600,36.5200,55370900,2062122950.6700,0.607900,2.026300,23.775095,5.342256
2023-02-08,37.2800,37.2900,36.6600,36.9000,37.2600,32058078,1183532335.7200,0.351900,-0.966200,23.545384,5.290640
2023-02-09,36.6800,37.8500,36.4000,37.7300,36.9000,38205508,1428022864.1900,0.419400,2.249300,24.074996,5.409644
2023-02-10,37.7300,37.7400,36.4000,36.7000,37.7300,40399433,1490294048.6700,0.443500,-2.729900,23.417767,5.261965
2023-02-13,36.4800,36.7500,35.8500,36.6000,36.7000,34502764,1254114214.4000,0.378800,-0.272500,23.353958,5.247627
2023-02-14,36.6000,36.6400,35.9400,36.1800,36.6000,23980513,867367222.8100,0.263300,-1.147500,23.085962,5.187408
2023-02-15,36.0200,36.3700,35.6700,36.1800,36.1800,25627223,923623983.1300,0.281300,0.000000,23.085962,5.187408
2023-02-16,36.1700,38.5200,36.1700,37.3900,36.1800,105007277,3946666196.9000,1.152800,3.344400,23.858047,5.360895
2023-02-17,36.9900,37.4400,36.5100,36.5100,37.3900,45447908,1676368000.3800,0.498900,-2.353600,23.296531,5.234723
2023-02-20,36.0000,38.9500,35.8500,38.7000,36.5100,92302594,3514053209.7400,1.013300,5.998400,28.251251,5.548720
2023-02-21,38.7000,39.7800,38.2600,38.7600,38.7000,61172781,2379282775.6000,0.671600,0.155000,28.295051,5.557323
2023-02-22,38.6100,38.9900,37.9000,38.1700,38.7600,42449267,1621875087.4600,0.466000,-1.522200,27.864348,5.472730
2023-02-23,38.1800,38.3500,37.4700,37.7400,38.1700,28615684,1080396425.2200,0.314200,-1.126500,27.550445,5.411078
2023-02-24,37.7700,38.3600,37.4000,37.6800,37.7400,28233123,1067144763.6200,0.310000,-0.159000,27.506644,5.402475
2023-02-27,37.5200,37.8500,37.1100,37.2200,37.6800,26267852,981883062.1800,0.288400,-1.220800,27.170841,5.336521
2023-02-28,37.8900,38.8700,37.7000,38.3800,37.2200,42221387,1618936828.3100,0.463500,3.116600,28.017649,5.502839
2023-03-01,38.3800,39.9000,38.3000,39.8100,38.3800,66608803,2630519538.4200,0.731300,3.725900,29.061558,5.707870
2023-03-02,39.6000,40.3300,39.2000,39.4000,39.8100,42074899,1668002117.5400,0.461900,-1.029900,28.762256,5.649085
2023-03-03,39.5000,39.5900,38.7500,39.3700,39.4000,28589847,1118914824.4500,0.313900,-0.076100,28.740355,5.644783
2023-03-06,39.4700,40.2800,39.3100,39.9000,39.3700,34793931,1391047755.6300,0.382000,1.346200,29.127259,5.720774
2023-03-07,39.8500,40.6700,38.6900,38.9200,39.9000,37317560,1467586577.8600,0.409700,-2.456100,28.411852,5.580263
2023-03-08,38.8000,39.1000,38.1200,39.0000,38.9200,32406482,1249580788.3400,0.355800,0.205500,28.470253,5.591734
2023-03-09,39.0000,39.0900,38.1100,38.3200,39.0000,34915837,1341408235.0300,0.383300,-1.743600,27.973849,5.494237
2023-03-10,38.1100,38.7600,37.6000,37.8100,38.3200,40416418,1535014720.7800,0.443700,-1.330900,27.601545,5.421114
