code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.002415,2024-04-20,2023-12-31,0.194933,0.169641,0.444402,15155683186.960000,1.511974,89339856855.680000,9330600931.00,9108433258.00
sz.002415,2023-10-21,2023-09-30,0.126534,0.155009,0.448514,9498231250.320000,1.376964,,9330600931.00,9108433258.00
sz.002415,2023-08-19,2023-06-30,0.078428,0.153215,0.451847,5756423810.240000,1.325996,37570786397.890000,9363932789.00,9108433258.00
sz.002415,2023-04-15,2023-03-31,0.026097,0.120252,0.451653,1948223809.700000,1.320475,,9363932789.00,9108766783.00
sz.002415,2023-04-15,2022-12-31,0.194726,0.163010,0.422888,13556969721.930000,1.361197,83166321681.140000,9430920624.00,9175672118.00
sz.002415,2022-10-29,2022-09-30,0.137303,0.156952,0.423517,9373425970.290000,1.555677,,9433208719.00,9175672118.00
sz.002415,2022-08-13,2022-06-30,0.091799,0.164750,0.431445,6138179989.580000,1.704430,37257516590.620000,9433208719.00,9175672118.00
sz.002415,2022-04-16,2022-03-31,0.035305,0.146228,0.437222,2415915220.450000,1.793149,,9433208719.00,9142751769.00
sz.002415,2022-04-16,2021-12-31,0.286561,0.215066,0.443265,17510721210.470000,1.799567,81420053539.270000,9335806114.00,9120491544.00
sz.002415,2021-10-23,2021-09-30,0.197002,0.206670,0.463336,11496884943.710000,1.704429,,9335806114.00,8142919323.00
sz.002415,2021-07-24,2021-06-30,0.121489,0.202196,0.463007,6854875757.070000,1.632744,33902098368.100000,9335806114.00,8142919323.00
sz.002415,2021-04-17,2021-03-31,0.039535,0.174046,0.468197,2434629422.090000,1.504663,,9343417190.00,8343931072.00
sz.002415,2021-04-17,2020-12-31,0.271241,0.215395,0.465262,13678319472.170000,1.432616,63503450891.780000,9343417190.00,8095391930.00
sz.002415,2020-10-24,2020-09-30,0.182061,0.204116,0.477149,8577197717.370000,1.372519,,9345010696.00,8095391930.00
sz.002415,2020-07-25,2020-06-30,0.104595,0.192281,0.497605,4666871541.000000,1.372048,24271159243.760000,9345010696.00,8095391930.00
sz.002415,2020-04-25,2020-03-31,0.032779,0.164749,0.473599,1553400547.010000,1.324208,,9345010696.00,8090272351.00
sz.002415,2020-04-25,2019-12-31,0.300981,0.216191,0.459917,12465184302.650000,1.328472,57658110065.220000,9345010696.00,8068308735.00
sz.002415,2019-10-19,2019-09-30,0.205751,0.203170,0.464410,8094091870.410000,1.282438,,9345010696.00,8074006784.00
sz.002415,2019-07-20,2019-06-30,0.113804,0.176554,0.463263,4223761290.190000,1.221896,23923273424.500000,9347956306.00,8074006784.00
sz.002415,2019-04-20,2019-03-31,0.039996,0.152671,0.448248,1517925039.430000,1.184475,,9348465931.00,8074704494.00
